	x
343	ENSG00000102854_ENSG00000260394
344	ENSG00000102854_ENSG00000161999
345	ENSG00000102854_ENSG00000127580
346	ENSG00000102854_ENSG00000127585
347	ENSG00000102854_ENSG00000259840
348	ENSG00000102854_ENSG00000162004
349	ENSG00000102854_ENSG00000103245
350	ENSG00000198551_ENSG00000102575
351	ENSG00000249249_ENSG00000251201
352	ENSG00000249249_ENSG00000243414
353	ENSG00000249249_ENSG00000134970
354	ENSG00000005206_ENSG00000267331
355	ENSG00000253607_ENSG00000136986
356	ENSG00000258430_ENSG00000142208
357	ENSG00000162227_ENSG00000168569
358	ENSG00000185475_ENSG00000168569
359	ENSG00000258727_ENSG00000213983
360	ENSG00000258727_ENSG00000092051
361	ENSG00000226526_ENSG00000117122
362	ENSG00000226526_ENSG00000159363
363	ENSG00000258504_ENSG00000259052
364	ENSG00000258504_ENSG00000197119
365	ENSG00000117640_ENSG00000228172
366	ENSG00000162430_ENSG00000228172
367	ENSG00000255054_ENSG00000228172
368	ENSG00000179889_ENSG00000261819
369	ENSG00000179889_ENSG00000238728
370	ENSG00000179889_ENSG00000260872
371	ENSG00000179889_ENSG00000157045
372	ENSG00000179889_ENSG00000085721
373	ENSG00000179889_ENSG00000188599
374	ENSG00000179889_ENSG00000250251
375	ENSG00000160752_ENSG00000225855
376	ENSG00000160753_ENSG00000225855
377	ENSG00000235079_ENSG00000132485
378	ENSG00000108946_ENSG00000070540
379	ENSG00000108946_ENSG00000207561
380	ENSG00000108946_ENSG00000108950
381	ENSG00000072864_ENSG00000133392
382	ENSG00000100330_ENSG00000227117
383	ENSG00000176635_ENSG00000227117
384	ENSG00000230149_ENSG00000100242
385	ENSG00000141279_ENSG00000263766
386	ENSG00000085719_ENSG00000170289
387	ENSG00000254115_ENSG00000170289
388	ENSG00000100393_ENSG00000232754
389	ENSG00000259805_ENSG00000103942
390	ENSG00000259805_ENSG00000169609
391	ENSG00000259805_ENSG00000064726
392	ENSG00000259805_ENSG00000259767
393	ENSG00000180822_ENSG00000137266
394	ENSG00000260017_ENSG00000157106
395	ENSG00000236318_ENSG00000236039
396	ENSG00000236318_ENSG00000226598
397	ENSG00000004487_ENSG00000240553
398	ENSG00000263793_ENSG00000240553
399	ENSG00000228586_ENSG00000204380
400	ENSG00000144283_ENSG00000204380
401	ENSG00000231675_ENSG00000204380
402	ENSG00000236213_ENSG00000163171
403	ENSG00000156170_ENSG00000175305
404	ENSG00000156170_ENSG00000238791
405	ENSG00000156170_ENSG00000164938
406	ENSG00000156170_ENSG00000253528
407	ENSG00000156170_ENSG00000245080
408	ENSG00000156170_ENSG00000254248
409	ENSG00000156170_ENSG00000265256
410	ENSG00000236338_ENSG00000105887
411	ENSG00000236338_ENSG00000267697
412	ENSG00000244697_ENSG00000186063
413	ENSG00000091409_ENSG00000225205
414	ENSG00000152256_ENSG00000225205
415	ENSG00000134369_ENSG00000231871
416	ENSG00000264802_ENSG00000231871
417	ENSG00000200942_ENSG00000231871
418	ENSG00000221028_ENSG00000231871
419	ENSG00000198700_ENSG00000231871
420	ENSG00000258289_ENSG00000176153
421	ENSG00000134108_ENSG00000233912
422	ENSG00000143819_ENSG00000242861
423	ENSG00000147679_ENSG00000147677
424	ENSG00000147679_ENSG00000164754
425	ENSG00000042980_ENSG00000253535
426	ENSG00000134028_ENSG00000253535
427	ENSG00000069206_ENSG00000253535
428	ENSG00000138185_ENSG00000226688
429	ENSG00000240527_ENSG00000226688
430	ENSG00000173088_ENSG00000226688
431	ENSG00000188649_ENSG00000226688
432	ENSG00000107443_ENSG00000226688
433	ENSG00000188316_ENSG00000225302
434	ENSG00000188316_ENSG00000187164
435	ENSG00000123154_ENSG00000105583
436	ENSG00000123154_ENSG00000095059
437	ENSG00000149084_ENSG00000246250
438	ENSG00000166734_ENSG00000259595
439	ENSG00000140675_ENSG00000260740
440	ENSG00000140675_ENSG00000140688
441	ENSG00000254662_ENSG00000149136
442	ENSG00000167740_ENSG00000185722
443	ENSG00000142945_ENSG00000225721
444	ENSG00000142937_ENSG00000225721
445	ENSG00000092931_ENSG00000161547
446	ENSG00000092931_ENSG00000207556
447	ENSG00000134871_ENSG00000232814
448	ENSG00000100731_ENSG00000257692
449	ENSG00000259907_ENSG00000257692
450	ENSG00000258517_ENSG00000257692
451	ENSG00000215424_ENSG00000160294
452	ENSG00000215424_ENSG00000239415
453	ENSG00000164889_ENSG00000244151
454	ENSG00000104805_ENSG00000235191
455	ENSG00000107551_ENSG00000165507
456	ENSG00000182253_ENSG00000259475
457	ENSG00000140443_ENSG00000259475
458	ENSG00000247853_ENSG00000111642
459	ENSG00000247853_ENSG00000251898
460	ENSG00000175414_ENSG00000048162
461	ENSG00000175414_ENSG00000175416
462	ENSG00000227543_ENSG00000258472
463	ENSG00000227543_ENSG00000076382
464	ENSG00000227543_ENSG00000264608
465	ENSG00000227543_ENSG00000167524
466	ENSG00000227543_ENSG00000007202
467	ENSG00000121039_ENSG00000250295
468	ENSG00000104904_ENSG00000167476
469	ENSG00000107736_ENSG00000223817
470	ENSG00000107736_ENSG00000214688
471	ENSG00000107736_ENSG00000107738
472	ENSG00000163959_ENSG00000161217
473	ENSG00000161057_ENSG00000170615
474	ENSG00000234715_ENSG00000170615
475	ENSG00000091140_ENSG00000091136
476	ENSG00000155016_ENSG00000245293
477	ENSG00000164023_ENSG00000245293
478	ENSG00000072195_ENSG00000227432
479	ENSG00000144591_ENSG00000227432
480	ENSG00000072182_ENSG00000227432
481	ENSG00000160683_ENSG00000245869
482	ENSG00000160683_ENSG00000186174
483	ENSG00000237805_ENSG00000161570
484	ENSG00000239815_ENSG00000135253
485	ENSG00000128524_ENSG00000135253
486	ENSG00000221401_ENSG00000135253
487	ENSG00000140455_ENSG00000259248
488	ENSG00000197361_ENSG00000259248
489	ENSG00000259662_ENSG00000259248
490	ENSG00000129009_ENSG00000261543
491	ENSG00000254511_ENSG00000245832
492	ENSG00000227097_ENSG00000245832
493	ENSG00000233101_ENSG00000120093
494	ENSG00000233101_ENSG00000182742
495	ENSG00000233101_ENSG00000257178
496	ENSG00000233101_ENSG00000207777
497	ENSG00000233101_ENSG00000120075
498	ENSG00000233101_ENSG00000108511
499	ENSG00000127928_ENSG00000237729
500	ENSG00000127928_ENSG00000105825
501	ENSG00000255050_ENSG00000147813
502	ENSG00000188676_ENSG00000253939
503	ENSG00000131203_ENSG00000253939
504	ENSG00000253838_ENSG00000253939
505	ENSG00000244491_ENSG00000100242
506	ENSG00000143942_ENSG00000115239
507	ENSG00000068912_ENSG00000115239
508	ENSG00000078804_ENSG00000225065
509	ENSG00000133138_ENSG00000196333
510	ENSG00000165376_ENSG00000196333
511	ENSG00000006534_ENSG00000255306
512	ENSG00000158669_ENSG00000264578
513	ENSG00000228919_ENSG00000196526
514	ENSG00000243187_ENSG00000145075
515	ENSG00000114416_ENSG00000145075
516	ENSG00000163728_ENSG00000145075
517	ENSG00000241473_ENSG00000145075
518	ENSG00000123146_ENSG00000267379
519	ENSG00000249348_ENSG00000109814
520	ENSG00000249348_ENSG00000163683
521	ENSG00000105778_ENSG00000229358
522	ENSG00000105778_ENSG00000170852
523	ENSG00000105778_ENSG00000205763
524	ENSG00000105778_ENSG00000252821
525	ENSG00000105778_ENSG00000122643
526	ENSG00000105778_ENSG00000229054
527	ENSG00000169230_ENSG00000213347
528	ENSG00000257017_ENSG00000140830
529	ENSG00000261701_ENSG00000140830
530	ENSG00000140829_ENSG00000140830
531	ENSG00000260252_ENSG00000140830
532	ENSG00000188312_ENSG00000198000
533	ENSG00000188312_ENSG00000229530
534	ENSG00000188312_ENSG00000106809
535	ENSG00000188312_ENSG00000127083
536	ENSG00000188312_ENSG00000106819
537	ENSG00000188312_ENSG00000106823
538	ENSG00000188312_ENSG00000264158
539	ENSG00000188312_ENSG00000225551
540	ENSG00000188312_ENSG00000127080
541	ENSG00000144741_ENSG00000206759
542	ENSG00000144741_ENSG00000144749
543	ENSG00000027075_ENSG00000252380
544	ENSG00000027075_ENSG00000182107
545	ENSG00000027075_ENSG00000247287
546	ENSG00000027075_ENSG00000258926
547	ENSG00000114026_ENSG00000134072
548	ENSG00000114026_ENSG00000171148
549	ENSG00000176393_ENSG00000234678
550	ENSG00000163435_ENSG00000234678
551	ENSG00000245552_ENSG00000149212
552	ENSG00000133816_ENSG00000254680
553	ENSG00000213949_ENSG00000249899
554	ENSG00000164171_ENSG00000249899
555	ENSG00000255422_ENSG00000110367
556	ENSG00000229036_ENSG00000001036
557	ENSG00000164292_ENSG00000173221
558	ENSG00000251348_ENSG00000173221
559	ENSG00000143224_ENSG00000158850
560	ENSG00000267436_ENSG00000161091
561	ENSG00000197774_ENSG00000261661
562	ENSG00000095906_ENSG00000261661
563	ENSG00000232110_ENSG00000107798
564	ENSG00000119917_ENSG00000107798
565	ENSG00000152778_ENSG00000107798
566	ENSG00000119922_ENSG00000107798
567	ENSG00000224289_ENSG00000107798
568	ENSG00000204010_ENSG00000107798
569	ENSG00000185745_ENSG00000107798
570	ENSG00000128039_ENSG00000249700
571	ENSG00000178425_ENSG00000123500
572	ENSG00000178425_ENSG00000218428
573	ENSG00000178425_ENSG00000236326
574	ENSG00000136068_ENSG00000244161
575	ENSG00000130768_ENSG00000227050
576	ENSG00000158156_ENSG00000227050
577	ENSG00000257303_ENSG00000062485
578	ENSG00000257303_ENSG00000144785
579	ENSG00000257303_ENSG00000257727
580	ENSG00000151929_ENSG00000224489
581	ENSG00000152022_ENSG00000234222
582	ENSG00000131795_ENSG00000234222
583	ENSG00000090857_ENSG00000247228
584	ENSG00000157335_ENSG00000247228
585	ENSG00000260608_ENSG00000064726
586	ENSG00000260608_ENSG00000259767
587	ENSG00000136828_ENSG00000136859
588	ENSG00000136828_ENSG00000228487
589	ENSG00000227218_ENSG00000136908
590	ENSG00000227218_ENSG00000167106
591	ENSG00000086289_ENSG00000106483
592	ENSG00000184220_ENSG00000168386
593	ENSG00000184220_ENSG00000264897
594	ENSG00000119705_ENSG00000100603
595	ENSG00000162521_ENSG00000162520
596	ENSG00000260372_ENSG00000134504
597	ENSG00000260372_ENSG00000265369
598	ENSG00000260372_ENSG00000212367
599	ENSG00000260372_ENSG00000263382
600	ENSG00000260372_ENSG00000266184
601	ENSG00000260372_ENSG00000171885
602	ENSG00000260372_ENSG00000154080
603	ENSG00000260372_ENSG00000266549
604	ENSG00000067066_ENSG00000235419
605	ENSG00000116977_ENSG00000230325
606	ENSG00000259678_ENSG00000104093
607	ENSG00000214655_ENSG00000236370
608	ENSG00000255896_ENSG00000111684
609	ENSG00000224328_ENSG00000137337
610	ENSG00000214022_ENSG00000240449
611	ENSG00000196456_ENSG00000240449
612	ENSG00000130202_ENSG00000267282
613	ENSG00000130204_ENSG00000267282
614	ENSG00000224078_ENSG00000257647
615	ENSG00000224078_ENSG00000114062
616	ENSG00000224078_ENSG00000261529
617	ENSG00000228352_ENSG00000198876
618	ENSG00000142669_ENSG00000158062
619	ENSG00000169442_ENSG00000158062
620	ENSG00000234237_ENSG00000243155
621	ENSG00000234237_ENSG00000135823
622	ENSG00000267787_ENSG00000081923
623	ENSG00000251675_ENSG00000164300
624	ENSG00000245067_ENSG00000163453
625	ENSG00000076513_ENSG00000174456
626	ENSG00000237399_ENSG00000107959
627	ENSG00000118058_ENSG00000255435
628	ENSG00000172425_ENSG00000255435
629	ENSG00000149582_ENSG00000255435
630	ENSG00000167716_ENSG00000262791
631	ENSG00000149311_ENSG00000166323
632	ENSG00000187147_ENSG00000126106
633	ENSG00000197451_ENSG00000175309
634	ENSG00000162804_ENSG00000225521
635	ENSG00000258682_ENSG00000139971
636	ENSG00000258682_ENSG00000257621
637	ENSG00000141404_ENSG00000267165
638	ENSG00000255112_ENSG00000267165
639	ENSG00000166333_ENSG00000254641
640	ENSG00000091436_ENSG00000238133
641	ENSG00000236756_ENSG00000213551
642	ENSG00000236756_ENSG00000182180
643	ENSG00000236756_ENSG00000249376
644	ENSG00000236756_ENSG00000156042
645	ENSG00000257913_ENSG00000181418
646	ENSG00000257913_ENSG00000181929
647	ENSG00000257913_ENSG00000167548
648	ENSG00000267009_ENSG00000070540
649	ENSG00000267009_ENSG00000207561
650	ENSG00000189223_ENSG00000125618
651	ENSG00000258395_ENSG00000125618
652	ENSG00000198106_ENSG00000260953
653	ENSG00000198106_ENSG00000254206
654	ENSG00000198106_ENSG00000254634
655	ENSG00000198106_ENSG00000238639
656	ENSG00000198106_ENSG00000261740
657	ENSG00000198106_ENSG00000183336
658	ENSG00000198106_ENSG00000258150
659	ENSG00000198106_ENSG00000169203
660	ENSG00000149761_ENSG00000256116
661	ENSG00000110011_ENSG00000256116
662	ENSG00000230424_ENSG00000127463
663	ENSG00000100567_ENSG00000139971
664	ENSG00000100567_ENSG00000257621
665	ENSG00000121068_ENSG00000267280
666	ENSG00000244513_ENSG00000144747
667	ENSG00000101294_ENSG00000230613
668	ENSG00000124920_ENSG00000256428
669	ENSG00000167970_ENSG00000205937
670	ENSG00000042832_ENSG00000240237
671	ENSG00000042832_ENSG00000155926
672	ENSG00000224699_ENSG00000168679
673	ENSG00000224699_ENSG00000134248
674	ENSG00000126749_ENSG00000215021
675	ENSG00000126749_ENSG00000111684
676	ENSG00000149021_ENSG00000255446
677	ENSG00000126804_ENSG00000259116
678	ENSG00000126803_ENSG00000259116
679	ENSG00000111817_ENSG00000233558
680	ENSG00000111817_ENSG00000189241
681	ENSG00000132405_ENSG00000245748
682	ENSG00000173011_ENSG00000245748
683	ENSG00000178127_ENSG00000266053
684	ENSG00000265257_ENSG00000266053
685	ENSG00000101745_ENSG00000266053
686	ENSG00000188735_ENSG00000139725
687	ENSG00000087365_ENSG00000255038
688	ENSG00000121764_ENSG00000162517
689	ENSG00000140577_ENSG00000259736
690	ENSG00000259746_ENSG00000259736
691	ENSG00000245479_ENSG00000259736
692	ENSG00000156875_ENSG00000241073
693	ENSG00000108292_ENSG00000263975
694	ENSG00000266632_ENSG00000263975
695	ENSG00000110075_ENSG00000260808
696	ENSG00000005187_ENSG00000166743
697	ENSG00000005187_ENSG00000066654
698	ENSG00000005187_ENSG00000260510
699	ENSG00000005187_ENSG00000196678
