#http://cbio.mskcc.org/CancerGenes/Select.action	
EntrezID	GeneSymbol
7071	KLF10
9314	KLF4
688	KLF5
1316	KLF6
5655	KLK10
11012	KLK11
5653	KLK6
3838	KPNA2
3845	KRAS
8844	KSR1
26013	L3MBTL
3911	LAMA5
29956	LASS2
9113	LATS1
26524	LATS2
3934	LCN2
23641	LDOC1
25875	LETMD1
9211	LGI1
3976	LIF
8994	LIMD1
3996	LLGL1
4015	LOX
55367	LRDD
121227	LRIG3
53353	LRP1B
116135	LRRC3B
4045	LSAMP
4057	LTF
92335	LYK5
4067	LYN
116372	LYPD1
11178	LZTS1
84445	LZTS2
8379	MAD1L1
4118	MAL
9794	MAML1
4131	MAP1B
5605	MAP2K2
6416	MAP2K4
4216	MAP3K4
6885	MAP3K7
11184	MAP4K1
5594	MAPK1
1432	MAPK14
5595	MAPK3
5599	MAPK8
5601	MAPK9
22924	MAPRE3
8932	MBD2
4163	MCC
79648	MCPH1
9656	MDC1
4190	MDH1
4193	MDM2
4194	MDM4
9439	MED23
4208	MEF2C
4221	MEN1
4233	MET
145282	MIPOL1
4292	MLH1
4297	MLL
9757	MLL4
4313	MMP2
4330	MN1
64112	MOAP1
4356	MPP3
10335	MRVI1
4436	MSH2
4477	MSMB
4495	MT1G
4507	MTAP
4524	MTHFR
57509	MTUS1
9961	MVP
4084	MXD1
4601	MXI1
4609	MYC
4613	MYCN
84700	MYO18B
4676	NAP1L4
24142	NAT6
4683	NBN
4077	NBR1
10230	NBR2
259197	NCR3
4692	NDN
10397	NDRG1
57447	NDRG2
65009	NDRG4
51079	NDUFA13
284086	NEK8
4756	NEO1
4763	NF1
4771	NF2
4790	NFKB1
4791	NFKB2
4792	NFKBIA
4800	NFYA
4804	NGFR
4817	NIT1
56954	NIT2
4824	NKX3-1
4830	NME1
9241	NOG
4843	NOS2A
4851	NOTCH1
27035	NOX1
50507	NOX4
4869	NPM1
8431	NR0B2
3164	NR4A1
8013	NR4A3
8829	NRP1
80023	NRSN2
643432	NR_015362
9423	NTN1
4914	NTRK1
318	NUDT2
4928	NUP98
3175	ONECUT1
4978	OPCML
5008	OSM
124641	OVCA2
135138	PACRG
5047	PAEP
79728	PALB2
56666	PANX2
5071	PARK2
11315	PARK7
142	PARP1
64098	PARVG
5074	PAWR
5078	PAX4
5080	PAX6
55193	PBRM1
57060	PCBP4
57575	PCDH10
7703	PCGF2
5133	PDCD1
27250	PDCD4
5157	PDGFRL
8572	PDLIM4
3651	PDX1
5037	PEBP1
5175	PECAM1
5178	PEG3
64065	PERP
23481	PES1
5196	PF4
5216	PFN1
5241	PGR
5245	PHB
11331	PHB2
79960	PHF17
7262	PHLDA2
401	PHOX2A
5289	PIK3C3
5290	PIK3CA
54984	PINX1
5307	PITX1
5310	PKD1
29941	PKN3
22925	PLA2R1
5325	PLAGL1
5333	PLCD1
51196	PLCE1
51177	PLEKHO1
5347	PLK1
10733	PLK4
10154	PLXNC1
5371	PML
5449	POU1F1
25833	POU2F3
11281	POU6F2
56342	PPAN
5465	PPARA
5467	PPARD
8500	PPFIA1
5494	PPM1A
8493	PPM1D
151742	PPM1L
84152	PPP1R1B
5519	PPP2R1B
5521	PPP2R2B
639	PRDM1
7799	PRDM2
11108	PRDM4
144165	PRICKLE1
5573	PRKAR1A
5580	PRKCD
112464	PRKCDBP
5617	PRL
10419	PRMT5
5624	PROC
5625	PRODH
5629	PROX1
55615	PRR5
57716	PRX
5702	PSMC3
5727	PTCH1
8643	PTCH2
5728	PTEN
9536	PTGES
5743	PTGS2
5745	PTHR1
5757	PTMA
5789	PTPRD
5793	PTPRG
5795	PTPRJ
5796	PTPRK
5800	PTPRO
149628	PYHIN1
5894	RAF1
5898	RALA
5900	RALGDS
5909	RAP1GAP
5915	RARB
5916	RARG
5920	RARRES3
5921	RASA1
8437	RASAL1
10633	RASL10A
91608	RASL10B
387496	RASL11A
11186	RASSF1
9770	RASSF2
83937	RASSF4
83593	RASSF5
166824	RASSF6
5925	RB1
9821	RB1CC1
57786	RBAK
5928	RBBP4
5929	RBBP5
5930	RBBP6
5931	RBBP7
5932	RBBP8
5933	RBL1
5934	RBL2
10432	RBM14
5936	RBM4
10181	RBM5
5947	RBP1
8434	RECK
5970	RELA
5979	RET
64326	RFWD2
56963	RGMA
387	RHOA
388	RHOB
60561	RINT1
6041	RNASEL
390	RND3
11236	RNF139
9810	RNF40
6049	RNF6
6095	RORA
6134	RPL10
6235	RPS29
27330	RPS6KA6
6240	RRM1
57142	RTN4
861	RUNX1
864	RUNX3
6282	S100A11
6273	S100A2
6275	S100A4
6285	S100B
6294	SAFB
9667	SAFB2
23328	SASH1
92304	SCGB3A1
23513	SCRIB
6383	SDC2
6386	SDCBP
6390	SDHB
6392	SDHD
23541	SEC14L2
6400	SEL1L
7869	SEMA3B
29843	SENP1
5414	SEPT4
10801	SEPT9
5055	SERPINB2
5268	SERPINB5
6418	SET
10262	SF3B4
2810	SFN
6422	SFRP1
6425	SFRP5
6469	SHH
257218	SHPRH
6477	SIAH1
23411	SIRT1
22933	SIRT2
23410	SIRT3
6497	SKI
5002	SLC22A18
27173	SLC39A1
6521	SLC4A1
160728	SLC5A8
9368	SLC9A3R1
9353	SLIT2
4087	SMAD2
4088	SMAD3
4089	SMAD4
4090	SMAD5
6595	SMARCA2
6597	SMARCA4
6598	SMARCB1
6605	SMARCE1
6608	SMO
114826	SMYD4
26799	SNORD50A
8651	SOCS1
9021	SOCS3
6648	SOD2
6659	SOX4
83595	SOX7
6667	SP1
10653	SPINT2
6693	SPN
6696	SPP1
10253	SPRY2
6714	SRC
8406	SRPX
23635	SSBP2
6767	ST13
6768	ST14
7982	ST7
54879	ST7L
9754	STARD8
6774	STAT3
6776	STAT5A
55240	STEAP3
6786	STIM1
6794	STK11
6788	STK3
6789	STK4
3925	STMN1
51684	SUFU
7341	SUMO1
9913	SUPT7L
23512	SUZ12
6850	SYK
171024	SYNPO2
57586	SYT13
84447	SYVN1
10474	TADA3L
6876	TAGLN
6895	TARBP2
29110	TBK1
84897	TBRG1
56849	TCEAL7
6921	TCEB1
6923	TCEB2
6924	TCEB3
6929	TCF3
6925	TCF4
84260	TCHP
8115	TCL1A
6997	TDGF1
23371	TENC1
26136	TES
7020	TFAP2A
7040	TGFB1
7045	TGFBI
55901	THSD1
7070	THY1
7078	TIMP3
7082	TJP1
7097	TLR2
7099	TLR4
8577	TMEFF1
23671	TMEFF2
25907	TMEM158
339967	TMPRSS11A
7124	TNF
7128	TNFAIP3
8797	TNFRSF10A
8795	TNFRSF10B
8743	TNFSF10
10188	TNK2
7145	TNS1
64759	TNS3
11073	TOPBP1
10210	TOPORS
7157	TP53
7158	TP53BP1
7159	TP53BP2
9537	TP53I11
9540	TP53I3
8626	TP63
7161	TP73
7168	TPM1
7179	TPTE
7185	TRAF1
7189	TRAF6
10206	TRIM13
10612	TRIM3
23087	TRIM35
286827	TRIM59
81603	TRIM8
8295	TRRAP
7248	TSC1
7249	TSC2
8848	TSC22D1
10077	TSPAN32
64061	TSPYL2
7260	TSSC1
10078	TSSC4
286319	TUSC1
11334	TUSC2
7991	TUSC3
10641	TUSC4
286753	TUSC5
7321	UBE2D1
7322	UBE2D2
7323	UBE2D3
7329	UBE2I
7337	UBE3A
10277	UBE4B
7345	UCHL1
29128	UHRF1
90249	UNC5A
219699	UNC5B
8633	UNC5C
7378	UPP1
7405	UVRAG
7411	VBP1
7428	VHL
391104	VHLL
55275	VPS53
79679	VTCN1
8976	WASL
58189	WFDC1
11197	WIF1
8838	WISP3
51352	WIT1
65268	WNK2
7474	WNT5A
7486	WRN
7490	WT1
9589	WTAP
51741	WWOX
54739	XAF1
7498	XDH
7515	XRCC1
10413	YAP1
8089	YEATS4
7529	YWHAB
7531	YWHAE
7532	YWHAG
7533	YWHAH
10971	YWHAQ
7534	YWHAZ
7704	ZBTB16
10009	ZBTB33
51341	ZBTB7A
84872	ZC3H10
340152	ZC3H12D
51201	ZDHHC2
463	ZFHX3
7545	ZIC1
51364	ZMYND10
23613	ZMYND8
7739	ZNF185
7767	ZNF224
10472	ZNF238
7791	ZYX
