sasid	chr	start	end	gene_name	transcript_biotype	exon_overlap_type	exon_overlaping_length	cpg_count	cpg_names
ENSG00000250206_ENSG00000168916	5	123972606	124084500	RP11-436H11.2_ZNF608	antisense&protein_coding	INTRONIC	564	1	CpG: 48
ENSG00000114648_ENSG00000088727	3	47323982	47324609	KLHL18_KIF9	protein_coding&protein_coding	5UTR_EXON	150	1	CpG: 93
ENSG00000228187_ENSG00000142892	1	77554672	77685115	RP11-363H12.1_PIGK	processed_pseudogene&protein_coding	INTRONIC	572	1	CpG: 23
ENSG00000174996_ENSG00000254762	11	66034341	66035331	KLC2_RP11-867G23.2	protein_coding&antisense	3UTR_3UTR	198	2	CpG: 27;CpG: 18
ENSG00000175115_ENSG00000255038	11	65837922	66012218	PACS1_RP11-1167A19.2	protein_coding&snRNA	divergent	833	1	CpG: 133
ENSG00000136485_ENSG00000200560	17	61627819	61671639	DCAF7_U6	protein_coding&snRNA	INTRONIC	105	1	CpG: 90
ENSG00000087095_ENSG00000202389	17	26369179	26523407	NLK_SNORA70	protein_coding&snRNA	divergent	19690	1	CpG: 42
ENSG00000255351_ENSG00000110328	11	11292420	11643552	RP11-567I13.1_GALNTL4	antisense&protein_coding	INTRONIC	883	1	CpG: 149
ENSG00000249643_ENSG00000168916	5	123972606	124084500	RP11-436H11.6_ZNF608	antisense&protein_coding	INTRONIC	608	1	CpG: 48
ENSG00000251314_ENSG00000249746	5	95297702	95970220	CTD-2337A12.1_RP11-254I22.3	processed_transcript&lincRNA	INTRONIC	1731	1	CpG: 18
ENSG00000109084_ENSG00000265480	17	26646118	26655707	TMEM97_KRT18P55	protein_coding&snRNA	divergent	1310	2	CpG: 29;CpG: 72
ENSG00000154027_ENSG00000221664	1	77747733	78025651	AK5_AC095030.1	protein_coding&miRNA	INTRONIC	108	1	CpG: 103
ENSG00000151365_ENSG00000259112	11	77728014	77790911	THRSP_NDUFC2-KCTD14	protein_coding&protein_coding	INTRONIC	4492	1	CpG: 64
ENSG00000150593_ENSG00000203497	10	112629623	112659764	PDCD4_RP11-313D6.4	protein_coding&antisense	INTRONIC	428	1	CpG: 106
ENSG00000154027_ENSG00000233099	1	77747733	78025651	AK5_RP11-375A5.1	protein_coding&antisense	INTRONIC	3541	1	CpG: 103
ENSG00000157306_ENSG00000136367	14	24024929	24025552	RP11-66N24.4_ZFHX2	antisense&protein_coding	5UTR_5UTR	206	1	CpG: 51
ENSG00000100583_ENSG00000100580	14	77801361	77857840	SAMD15_TMED8	protein_coding&protein_coding	INTRONIC	422	1	CpG: 68
ENSG00000206559_ENSG00000234048	3	28390634	28579613	ZCWPW2_FAM96AP1	protein_coding&processed_pseudogene	INTRONIC	483	1	CpG: 84
ENSG00000163060_ENSG00000259848	2	95533228	95539126	TEKT4_AC097374.2	protein_coding&antisense	EXON_EXON	490	1	CpG: 55
ENSG00000255468_ENSG00000174684	11	66115418	66132275	RP11-867G23.8_B3GNT1	protein_coding&snRNA	divergent	256	1	CpG: 101
ENSG00000082996_ENSG00000239351	3	149530492	149679926	RNF13_RP11-651P23.6	protein_coding&processed_pseudogene	INTRONIC	804	1	CpG: 76
ENSG00000234500_ENSG00000179342	7	65976540	66010053	GS1-124K5.10_GS1-124K5.9	protein_coding&snRNA	divergent	5331	1	CpG: 118
ENSG00000267591_ENSG00000167306	18	47349180	47721463	RP11-689E3.2_MYO5B	processed_pseudogene&protein_coding	INTRONIC	422	1	CpG: 170
ENSG00000102125_ENSG00000013563	X	153639889	153640417	TAZ_DNASE1L1	protein_coding&protein_coding	5UTR_5UTR	117	1	CpG: 93
ENSG00000100577_ENSG00000009830	14	77786774	77787526	GSTZ1_POMT2	protein_coding&protein_coding	5UTR_5UTR	2	1	CpG: 96
ENSG00000259164_ENSG00000201384	14	77564651	77691805	RP11-463C8.4_SNORA32	nonsense_mediated_decay&snoRNA	INTRONIC	116	4	CpG: 79;CpG: 23;CpG: 71;CpG: 183
ENSG00000178691_ENSG00000253058	17	30264034	30328064	SUZ12_RNA5SP437	protein_coding&rRNA	INTRONIC	130	1	CpG: 82
ENSG00000138758_ENSG00000234036	4	77870853	77961537	SEPT11_RP11-123J14.2	protein_coding&retrotransposed	INTRONIC	310	1	CpG: 228
ENSG00000131773_ENSG00000254372	8	136469697	136668965	KHDRBS3_RP11-343P9.1	protein_coding&snRNA	divergent	503	1	CpG: 120
ENSG00000146592_ENSG00000225286	7	28338937	28865511	CREB5_AC005105.2	protein_coding&processed_pseudogene	INTRONIC	793	1	CpG: 125
ENSG00000005189_ENSG00000196678	16	20817727	20818043	AC004381.6_ERI2	protein_coding&protein_coding	5UTR_5UTR	33	1	CpG: 89
ENSG00000174871_ENSG00000254452	11	66045658	66052772	CNIH2_RP11-867G23.4	protein_coding&snRNA	divergent	696	1	CpG: 47
ENSG00000175868_ENSG00000110680	11	14926540	15103888	CALCB_CALCA	protein_coding&protein_coding	INTRONIC	5688	4	CpG: 17;CpG: 97;CpG: 69;CpG: 64
ENSG00000241978_ENSG00000228053	9	112542766	112934792	AKAP2_RP11-151F5.2	protein_coding&processed_pseudogene	INTRONIC	479	1	CpG: 29
ENSG00000254310_ENSG00000145685	5	77781037	78065844	CTD-2045M21.1_LHFPL2	processed_pseudogene&protein_coding	INTRONIC	279	2	CpG: 48;CpG: 142
ENSG00000126653_ENSG00000265394	17	28417381	28513493	NSRP1_RP11-1148O4.2	protein_coding&antisense	INTRONIC	718	1	CpG: 27
ENSG00000182173_ENSG00000177303	17	73512138	73520820	TSEN54_CASKIN2	protein_coding&snRNA	divergent	475	1	CpG: 209
ENSG00000254736_ENSG00000174669	11	66157077	66157639	RP11-867G23.9_SLC29A2	protein_coding&snRNA	divergent	17393	1	CpG: 100
ENSG00000092931_ENSG00000207556	17	74732390	74734530	MFSD11_MIR636	protein_coding&miRNA	SINGLE_EXON_EXON	100	1	CpG: 219
ENSG00000232546_ENSG00000230583	7	66313480	66323123	RP11-458F8.1_GTF2IRD1P1	protein_coding&snRNA	divergent	3668	1	CpG: 58
ENSG00000099715_ENSG00000235001	Y	4868264	5610265	PCDH11Y_EIF4A1P2	protein_coding&retrotransposed	INTRONIC	1219	2	CpG: 43;CpG: 45
ENSG00000243498_ENSG00000189376	8	124232193	124253638	UBA52P5_C8orf76	processed_pseudogene&protein_coding	INTRONIC	212	1	CpG: 66
ENSG00000222607_ENSG00000259305	8	124238428	124279627	U6_ZHX1-C8ORF76	snRNA&protein_coding	INTRONIC	108	1	CpG: 66
ENSG00000075673_ENSG00000225404	13	25254546	25285921	ATP12A_RPL26P34	protein_coding&processed_pseudogene	INTRONIC	388	1	CpG: 82
ENSG00000207704_ENSG00000156802	8	124332087	124428590	MIR548D1_ATAD2	miRNA&protein_coding	INTRONIC	98	1	CpG: 101
ENSG00000224897_ENSG00000128513	7	124569845	124570070	RP11-3B12.1_POT1	processed_transcript&protein_coding	5UTR_5UTR	31	1	CpG: 32
ENSG00000240299_ENSG00000204136	9	124209186	124262306	Metazoa_SRP_GGTA1P	misc_RNA&processed_transcript	INTRONIC	302	1	CpG: 80
ENSG00000267575_ENSG00000267389	19	28284368	28475892	CTC-459F4.3_CTC-459F4.7	processed_transcript&processed_pseudogene	INTRONIC	83910	3	CpG: 42;CpG: 19;CpG: 45
ENSG00000202159_ENSG00000081923	18	55313655	55470333	U6_ATP8B1	snRNA&protein_coding	INTRONIC	108	2	CpG: 165;CpG: 29
ENSG00000243498_ENSG00000259305	8	124238428	124279627	UBA52P5_ZHX1-C8ORF76	processed_pseudogene&protein_coding	INTRONIC	212	1	CpG: 66
ENSG00000198258_ENSG00000127452	19	9938565	9940791	UBL5_FBXL12	protein_coding&snRNA	divergent	74	1	CpG: 44
ENSG00000174516_ENSG00000174547	11	66234213	66244808	PELI3_MRPL11	protein_coding&snRNA	divergent	5	1	CpG: 89
ENSG00000140983_ENSG00000262528	16	718083	724174	RHOT2_LA16c-349E10.1	protein_coding&snRNA	divergent	11890	4	CpG: 16;CpG: 105;CpG: 26;CpG: 22
ENSG00000231322_ENSG00000187391	7	77646390	79082890	RPL13AP17_MAGI2	transcribed_processed_pseudogene&protein_coding	INTRONIC	1168	5	CpG: 50;CpG: 20;CpG: 26;CpG: 26;CpG: 29
ENSG00000087302_ENSG00000258854	14	52456190	52471420	C14orf166_RP11-463J10.4	protein_coding&snRNA	divergent	2254	1	CpG: 60
ENSG00000136848_ENSG00000229854	9	124329333	124547809	DAB2IP_RP11-524G24.2	protein_coding&antisense	INTRONIC	1325	7	CpG: 33;CpG: 46;CpG: 23;CpG: 45;CpG: 183;CpG: 38;CpG: 73
ENSG00000146677_ENSG00000015676	7	44421966	44530479	AC004453.8_NUDCD3	processed_pseudogene&protein_coding	INTRONIC	500	1	CpG: 73
ENSG00000222607_ENSG00000165156	8	124260694	124287781	U6_ZHX1	snRNA&protein_coding	INTRONIC	108	1	CpG: 151
ENSG00000171861_ENSG00000262434	17	685510	695749	RNMTL1_RP11-676J12.8	protein_coding&antisense	INTRONIC	783	1	CpG: 85
ENSG00000254986_ENSG00000174547	11	66247481	66277130	DPP3_MRPL11	protein_coding&snRNA	divergent	13273	3	CpG: 27;CpG: 89;CpG: 80
ENSG00000267575_ENSG00000267323	19	28296328	28297690	CTC-459F4.3_SLC25A1P5	processed_transcript&processed_pseudogene	SINGLE_EXON_EXON	602	1	CpG: 19
ENSG00000207267_ENSG00000134318	2	11319884	11488456	U6_ROCK2	snRNA&protein_coding	INTRONIC	108	1	CpG: 129
ENSG00000198874_ENSG00000126524	7	66461799	66704501	TYW1_SBDS	protein_coding&snRNA	divergent	1165	1	CpG: 63
ENSG00000233171_ENSG00000237869	9	66358545	66359658	RP11-459O16.3_RP11-459O16.1	protein_coding&snRNA	divergent	15425	1	CpG: 31
ENSG00000255540_ENSG00000255486	11	89464182	89467950	RP11-313I2.5_RP11-313I2.13	protein_coding&snRNA	divergent	3762	1	CpG: 20
ENSG00000257121_ENSG00000180263	12	95470522	95611258	RP11-129B9.2_FGD6	processed_pseudogene&protein_coding	INTRONIC	516	1	CpG: 118
ENSG00000254388_ENSG00000156802	8	124332087	124428590	DUTP2_ATAD2	processed_pseudogene&protein_coding	INTRONIC	464	1	CpG: 101
ENSG00000151572_ENSG00000258007	12	101111301	101522419	ANO4_RP11-350G24.1	protein_coding&antisense	INTRONIC	676	1	CpG: 152
ENSG00000114491_ENSG00000242199	3	124449210	124464040	UMPS_RP11-71H17.1	protein_coding&processed_pseudogene	INTRONIC	338	1	CpG: 31
ENSG00000064601_ENSG00000124257	20	44518886	44520018	CTSA_NEURL2	protein_coding&protein_coding	5UTR_5UTR	245	1	CpG: 141
ENSG00000012232_ENSG00000246339	8	28558841	28559176	EXTL3_EXTL3-AS1	protein_coding&processed_transcript	5UTR_5UTR	106	1	CpG: 145
ENSG00000244498_ENSG00000119396	9	123940412	124027464	RP11-477J21.5_RAB14	processed_transcript&protein_coding	INTRONIC	15222	1	CpG: 115
ENSG00000244286_ENSG00000082781	3	124480792	124606674	ITGB5-AS1_ITGB5	antisense&protein_coding	INTRONIC	6604	1	CpG: 152
ENSG00000197969_ENSG00000232998	9	79792447	79792910	VPS13A_VPS13A-AS1	protein_coding&antisense	5UTR_5UTR	179	1	CpG: 136
ENSG00000135269_ENSG00000237813	7	115850544	116139600	TES_AC002066.1	protein_coding&antisense	INTRONIC	20527	1	CpG: 75
ENSG00000248643_ENSG00000199325	11	66384094	66413940	RBM14-RBM4_U4	protein_coding&snRNA	divergent	1534	1	CpG: 143
ENSG00000102854_ENSG00000197727	16	693259	818865	MSLN_AL022341.1	protein_coding&snRNA	divergent	1572	1	CpG: 114
ENSG00000110011_ENSG00000256116	11	64001363	64001824	DNAJC4_RP11-783K16.14	protein_coding&antisense	EXON_5UTR	89	1	CpG: 97
ENSG00000068781_ENSG00000239995	2	48757061	49003638	STON1-GTF2A1L_AC073082.3	protein_coding&processed_pseudogene	INTRONIC	495	3	CpG: 33;CpG: 45;CpG: 22
ENSG00000165874_ENSG00000264977	10	46914469	46939143	FAM35B_Metazoa_SRP	protein_coding&snRNA	divergent	13801	1	CpG: 38
ENSG00000165702_ENSG00000165699	9	135820929	135867083	GFI1B_TSC1	protein_coding&snRNA	divergent	910	1	CpG: 84
ENSG00000228035_ENSG00000134259	1	115825652	115910693	RP4-663N10.1_NGF	antisense&protein_coding	INTRONIC	52320	1	CpG: 103
ENSG00000237296_ENSG00000257122	16	22448323	22449058	SMG1P1_RRN3P3	transcribed_unprocessed_pseudogene&transcribed_unprocessed_pseudogene	5UTR_5UTR	132	1	CpG: 95
ENSG00000242622_ENSG00000244308	3	119813739	119855630	RP11-18H7.1_Metazoa_SRP	processed_transcript&misc_RNA	INTRONIC	290	1	CpG: 166
ENSG00000175602_ENSG00000172500	11	65657872	65659105	CCDC85B_FIBP	protein_coding&snRNA	divergent	1863	1	CpG: 74
ENSG00000135269_ENSG00000243243	7	115850544	115967950	TES_AC073130.3	protein_coding&antisense	INTRONIC	20856	1	CpG: 75
ENSG00000153157_ENSG00000111837	6	10748024	10979553	SYCP2L_MAK	protein_coding&protein_coding	INTRONIC	75810	5	CpG: 67;CpG: 40;CpG: 41;CpG: 21;CpG: 23
ENSG00000262678_ENSG00000108509	17	4890104	4890665	RP5-1050D4.4_CAMTA2	antisense&protein_coding	3UTR_EXON	372	1	CpG: 76
ENSG00000153157_ENSG00000124827	6	10748024	10979553	SYCP2L_GCM2	protein_coding&protein_coding	INTRONIC	8720	5	CpG: 67;CpG: 40;CpG: 41;CpG: 21;CpG: 23
ENSG00000167258_ENSG00000223091	17	37617761	37721160	CDK12_U6	protein_coding&snRNA	INTRONIC	106	1	CpG: 41
ENSG00000206700_ENSG00000132122	1	48761041	48937845	U6_SPATA6	snRNA&protein_coding	INTRONIC	108	1	CpG: 28
ENSG00000261369_ENSG00000129636	16	47188295	47498060	RP11-474B12.1_ITFG1	antisense&protein_coding	INTRONIC	18369	1	CpG: 58
ENSG00000239528_ENSG00000092421	5	115779309	115910630	CTB-118N6.1_SEMA6A	processed_pseudogene&protein_coding	INTRONIC	370	2	CpG: 27;CpG: 177
ENSG00000136868_ENSG00000176386	9	115983839	116037869	SLC31A1_CDC26	protein_coding&protein_coding	INTRONIC	11104	2	CpG: 56;CpG: 63
ENSG00000262413_ENSG00000141522	17	79825594	79826951	RP11-498C9.3_ARHGDIA	antisense&protein_coding	5UTR_EXON	219	1	CpG: 64
ENSG00000267575_ENSG00000266977	19	28284368	28475892	CTC-459F4.3_CTC-459F4.5	processed_transcript&lincRNA	INTRONIC	39494	3	CpG: 42;CpG: 19;CpG: 45
ENSG00000184408_ENSG00000231295	7	119913719	120392568	KCND2_RP4-797C5.2	protein_coding&antisense	INTRONIC	3595	2	CpG: 82;CpG: 32
ENSG00000168675_ENSG00000267239	18	13218022	13652754	C18orf1_RP11-794M8.1	protein_coding&snRNA	divergent	1657	1	CpG: 183
ENSG00000260372_ENSG00000171885	18	24235703	24770662	CHST9-AS1_AQP4	antisense&protein_coding	INTRONIC	13782	3	CpG: 52;CpG: 136;CpG: 29
ENSG00000260288_ENSG00000246877	15	76020008	76055662	RP11-24M17.4_RP11-24M17.7	lincRNA&antisense	INTRONIC	805	1	CpG: 92
ENSG00000136937_ENSG00000231521	9	100395905	100436030	NCBP1_RP11-244N9.4	protein_coding&antisense	INTRONIC	1538	1	CpG: 116
ENSG00000161996_ENSG00000228201	16	699322	717833	WDR90_AL022341.3	protein_coding&snRNA	divergent	123	1	CpG: 152
ENSG00000211562_ENSG00000253729	8	48685666	48872743	AC103686.1_PRKDC	miRNA&protein_coding	INTRONIC	74	2	CpG: 149;CpG: 28
ENSG00000188372_ENSG00000146700	7	76026832	76027149	ZP3_SRCRB4D	protein_coding&protein_coding	5UTR_EXON	281	1	CpG: 40
ENSG00000120457_ENSG00000174370	11	128760137	128790930	KCNJ5_C11orf45	protein_coding&protein_coding	INTRONIC	6472	1	CpG: 77
ENSG00000140992_ENSG00000261140	16	2587962	2653189	PDPK1_RP11-20I23.6	protein_coding&antisense	INTRONIC	2895	5	CpG: 46;CpG: 35;CpG: 17;CpG: 21;CpG: 24
ENSG00000105971_ENSG00000237813	7	116139405	116139985	CAV2_AC002066.1	protein_coding&antisense	5UTR_5UTR	77	1	CpG: 62
ENSG00000064199_ENSG00000110013	11	124543535	124545314	SPA17_SIAE	protein_coding&protein_coding	5UTR_5UTR	25	1	CpG: 55
ENSG00000105974_ENSG00000235427	7	116164836	116201233	CAV1_AC006159.5	protein_coding&antisense	INTRONIC	9253	1	CpG: 148
ENSG00000236745_ENSG00000196312	9	99711030	99775862	YRDCP2_HIATL2	processed_pseudogene&protein_coding	INTRONIC	380	1	CpG: 84
ENSG00000255375_ENSG00000227160	11	32133592	32364955	RP1-65P5.5_RP1-65P5.1	lincRNA&processed_transcript	INTRONIC	10882	1	CpG: 63
ENSG00000079805_ENSG00000207752	19	10828752	10944164	DNM2_MIR199A1	protein_coding&miRNA	INTRONIC	72	1	CpG: 88
ENSG00000119686_ENSG00000224721	14	76044117	76045984	FLVCR2_AC007182.6	protein_coding&processed_transcript	5UTR_5UTR	6	1	CpG: 47
ENSG00000238141_ENSG00000185658	21	40556099	40695144	BRWD1-AS1_BRWD1	antisense&protein_coding	INTRONIC	5854	2	CpG: 217;CpG: 124
ENSG00000184489_ENSG00000244998	8	142400036	142441620	PTP4A3_CTD-3064M3.4	protein_coding&processed_transcript	INTRONIC	583	5	CpG: 19;CpG: 60;CpG: 93;CpG: 64;CpG: 25
ENSG00000138835_ENSG00000237073	9	116207008	116360018	RGS3_RP11-168K11.2	protein_coding&antisense	INTRONIC	19831	2	CpG: 18;CpG: 43
ENSG00000239552_ENSG00000173917	17	46634621	46637695	HOXB-AS2_HOXB2	protein_coding&snRNA	divergent	11181	3	CpG: 62;CpG: 21;CpG: 36
ENSG00000242441_ENSG00000239995	2	48844934	48960287	GTF2A1L_AC073082.3	protein_coding&processed_pseudogene	INTRONIC	495	1	CpG: 22
ENSG00000163607_ENSG00000163608	3	112709762	112738708	GTPBP8_C3orf17	protein_coding&protein_coding	INTRONIC	12622	2	CpG: 59;CpG: 48
ENSG00000178425_ENSG00000218428	6	116422009	116566855	NT5DC1_RP1-136O14.1	protein_coding&processed_pseudogene	INTRONIC	516	1	CpG: 74
ENSG00000120800_ENSG00000238800	12	101673884	101780394	UTP20_snoU13	protein_coding&snoRNA	INTRONIC	103	1	CpG: 30
ENSG00000176984_ENSG00000137699	11	119981980	120056237	AP000679.2_TRIM29	protein_coding&protein_coding	INTRONIC	2704	2	CpG: 49;CpG: 75
ENSG00000175550_ENSG00000175573	11	65686725	65689032	DRAP1_C11orf68	protein_coding&snRNA	divergent	138	1	CpG: 135
ENSG00000238577_ENSG00000099204	10	116190869	116444414	snoU13_ABLIM1	snoRNA&protein_coding	INTRONIC	86	1	CpG: 27
ENSG00000259642_ENSG00000259332	15	80215110	80217194	C15orf37_RP11-38G5.1	protein_coding&protein_coding	SINGLE_EXON_EXON	294	1	CpG: 117
ENSG00000245768_ENSG00000125166	16	58768041	58768220	RP11-410D17.2_GOT2	lincRNA&protein_coding	EXON_5UTR	163	1	CpG: 82
ENSG00000169564_ENSG00000263669	2	70314582	70316332	PCBP1_Metazoa_SRP	protein_coding&snRNA	divergent	12179	1	CpG: 186
ENSG00000102897_ENSG00000196678	16	20911448	20911813	LYRM1_ERI2	protein_coding&protein_coding	EXON_5UTR	147	1	CpG: 87
ENSG00000235051_ENSG00000124827	6	10881934	10882174	RP11-637O19.2_GCM2	antisense&protein_coding	5UTR_5UTR	76	1	CpG: 23
ENSG00000182224_ENSG00000183011	17	7761310	7761814	CYB5D1_LSMD1	protein_coding&protein_coding	5UTR_EXON	47	1	CpG: 105
ENSG00000251665_ENSG00000247011	17	49020755	49022074	RP11-700H6.2_RP11-700H6.1	lincRNA&lincRNA	5UTR_5UTR	88	1	CpG: 50
ENSG00000106443_ENSG00000230370	7	11013496	11209250	PHF14_AC005007.3	protein_coding&processed_pseudogene	INTRONIC	479	1	CpG: 39
ENSG00000233800_ENSG00000165699	9	135822453	135826943	RP11-295G24.4_TSC1	protein_coding&snRNA	divergent	2434	1	CpG: 84
ENSG00000129255_ENSG00000233223	17	7487175	7487390	MPDU1_AC113189.5	protein_coding&antisense	5UTR_5UTR	49	1	CpG: 95
ENSG00000139687_ENSG00000177197	13	48877908	49056122	RB1_PCNPP5	protein_coding&processed_pseudogene	INTRONIC	482	3	CpG: 106;CpG: 42;CpG: 85
